AUS	Australia
BRU	Brunei
CAM	Cambodia
TLS	Timor-Leste
IDN	Indonesia
LAO	Laos
MAS	Malaysia
MYA	Myanmar
PHI	Philippines
SGP	Singapore
THA	Thailand
VIE	Vietnam
AFG	Afghanistan
IRN	Iran
KGZ	Kyrgyzstan
TJK	Tajikistan
TKM	Turkmenistan
UZB	Uzbekistan
CHN	China
TPE	Chinese Taipei
PRK	North Korea
GUM	Guam
HKG	Hong Kong
JPN	Japan
KOR	South Korea
MAC	Macao
MNG	Mongolia
NMI	Northern Mariana Islands
BAN	Bangladesh
BHU	Bhutan
IND	India
MDV	Maldives
NEP	Nepal
PAK	Pakistan
SRI	Sri Lanka
BHR	Bahrain
IRQ	Iraq
JOR	Jordan
KUW	Kuwait
LBN	Lebanon
OMA	Oman
PLE	Palestine
QAT	Qatar
KSA	Saudi Arabia
SYR	Syria
UAE	UAE
YEM	Yemen
