1 1,885 ARG CONMEBOL Argentina
2 1,867 ESP UEFA Spain
3 1,862 FRA UEFA France
4 1,813 ENG UEFA England
5 1,778 BRA CONMEBOL Brazil
6 1,771 POR UEFA Portugal
7 1,758 NED UEFA Netherlands
8 1,736 BEL UEFA Belgium
9 1,717 GER UEFA Germany
10 1,708 CRO UEFA Croatia
11 1,703 ITA UEFA Italy
12 1,699 MAR CAF Morocco
13 1,690 MEX CONCACAF Mexico
14 1,679 COL CONMEBOL Colombia
15 1,671 USA CONCACAF USA
16 1,671 URU CONMEBOL Uruguay
17 1,641 JPN AFC Japan
18 1,635 SEN CAF Senegal
19 1,635 SUI UEFA Switzerland
20 1,624 IRN AFC Iran
21 1,621 DEN UEFA Denmark
22 1,591 AUT UEFA Austria
23 1,587 KOR AFC South Korea
24 1,579 AUS AFC Australia
25 1,571 ECU CONMEBOL Ecuador
26 1,557 UKR UEFA Ukraine
27 1,553 TUR UEFA Turkiye
28 1,549 CAN CONCACAF Canada
29 1,545 SWE UEFA Sweden
30 1,545 PAN CONCACAF Panama
31 1,529 WAL UEFA Wales
32 1,523 SRB UEFA Serbia
33 1,519 NOR UEFA Norway
34 1,519 EGY CAF Egypt
35 1,519 RUS UEFA Russia
36 1,504 ALG CAF Algeria
37 1,502 POL UEFA Poland
38 1,501 HUN UEFA Hungary
39 1,498 GRE UEFA Greece
40 1,494 CRC CONCACAF Costa Rica
41 1,492 CZE UEFA Czechia
42 1,490 PER CONMEBOL Peru
43 1,487 PAR CONMEBOL Paraguay
44 1,484 NGA CAF Nigeria
45 1,483 CIV CAF Ivory Coast
46 1,477 VEN CONMEBOL Venezuela
47 1,475 SCO UEFA Scotland
48 1,474 ROU UEFA Romania
49 1,471 TUN CAF Tunisia
50 1,470 SVN UEFA Slovenia
51 1,467 CMR CAF Cameroon
52 1,467 SVK UEFA Slovakia
53 1,460 QAT AFC Qatar
54 1,455 MLI CAF Mali
55 1,449 UZB AFC Uzbekistan
56 1,443 RSA CAF South Africa
57 1,442 CHI CONMEBOL Chile
58 1,417 IRQ AFC Iraq
59 1,415 KSA AFC Saudi Arabia
60 1,413 IRL UEFA Ireland
61 1,412 COD CAF DR Congo
62 1,391 MKD UEFA North Macedonia
63 1,388 BFA CAF Burkina Faso
64 1,388 JOR AFC Jordan
65 1,380 UAE AFC UAE
66 1,380 HON CONCACAF Honduras
67 1,375 GEO UEFA Georgia
68 1,373 ALB UEFA Albania
69 1,372 FIN UEFA Finland
70 1,363 JAM CONCACAF Jamaica
71 1,351 NIR UEFA Northern Ireland
72 1,349 BIH UEFA Bosnia and Herzegovina
73 1,344 CPV CAF Cape Verde
74 1,338 ISL UEFA Iceland
75 1,337 ISR UEFA Israel
76 1,333 GHA CAF Ghana
77 1,327 MNE UEFA Montenegro
78 1,316 BOL CONMEBOL Bolivia
79 1,314 OMA AFC Oman
80 1,307 GAB CAF Gabon
81 1,293 GUI CAF Guinea
82 1,289 NZL OFC New Zealand
83 1,285 ZAM CAF Zambia
84 1,284 BUL UEFA Bulgaria
