1 1,875 ESP UEFA Spain
2 1,871 FRA UEFA France
3 1,870 ARG CONMEBOL Argentina
4 1,820 ENG UEFA England
5 1,780 POR UEFA Portugal
6 1,762 BRA CONMEBOL Brazil
7 1,754 NED UEFA Netherlands
8 1,740 BEL UEFA Belgium
9 1,714 CRO UEFA Croatia
10 1,710 ITA UEFA Italy
11 1,706 MAR CAF Morocco
12 1,704 GER UEFA Germany
13 1,692 COL CONMEBOL Colombia
14 1,688 MEX CONCACAF Mexico
15 1,674 URU CONMEBOL Uruguay
16 1,670 USA CONCACAF USA
17 1,648 SUI UEFA Switzerland
18 1,645 SEN CAF Senegal
19 1,640 JPN AFC Japan
20 1,628 DEN UEFA Denmark
21 1,623 IRN AFC Iran
22 1,602 AUT UEFA Austria
23 1,593 KOR AFC South Korea
24 1,588 ECU CONMEBOL Ecuador
25 1,583 AUS AFC Australia
26 1,558 CAN CONCACAF Canada
27 1,556 TUR UEFA Turkiye
28 1,543 UKR UEFA Ukraine
29 1,530 PAN CONCACAF Panama
30 1,529 WAL UEFA Wales
31 1,526 NOR UEFA Norway
32 1,525 SWE UEFA Sweden
33 1,522 RUS UEFA Russia
34 1,521 SRB UEFA Serbia
35 1,519 EGY CAF Egypt
36 1,517 POL UEFA Poland
37 1,501 PAR CONMEBOL Paraguay
38 1,501 ALG CAF Algeria
39 1,500 CZE UEFA Czechia
40 1,495 GRE UEFA Greece
41 1,492 HUN UEFA Hungary
42 1,492 SVK UEFA Slovakia
43 1,485 SCO UEFA Scotland
44 1,484 CIV CAF Ivory Coast
45 1,484 NGA CAF Nigeria
46 1,483 TUN CAF Tunisia
47 1,481 CRC CONCACAF Costa Rica
48 1,469 PER CONMEBOL Peru
49 1,465 VEN CONMEBOL Venezuela
50 1,463 SVN UEFA Slovenia
51 1,463 ROU UEFA Romania
52 1,455 CMR CAF Cameroon
53 1,454 QAT AFC Qatar
54 1,453 UZB AFC Uzbekistan
55 1,449 RSA CAF South Africa
56 1,446 MLI CAF Mali
57 1,442 CHI CONMEBOL Chile
58 1,422 IRQ AFC Iraq
59 1,421 KSA AFC Saudi Arabia
60 1,408 COD CAF DR Congo
61 1,398 IRL UEFA Ireland
62 1,391 JOR AFC Jordan
63 1,389 MKD UEFA North Macedonia
64 1,385 BFA CAF Burkina Faso
65 1,384 HON CONCACAF Honduras
66 1,381 ALB UEFA Albania
67 1,380 UAE AFC UAE
68 1,377 GEO UEFA Georgia
69 1,377 JAM CONCACAF Jamaica
70 1,363 CPV CAF Cape Verde
71 1,359 FIN UEFA Finland
72 1,356 NIR UEFA Northern Ireland
73 1,344 BIH UEFA Bosnia and Herzegovina
